TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,235,3,3,6,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-02-01,220,3,5,14,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-03-01,179,7,6,14,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-04-01,292,3,4,19,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-05-01,248,4,0,11,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-06-01,268,1,1,7,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-07-01,179,2,2,5,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-08-01,199,7,3,8,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-09-01,227,2,2,10,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-10-01,285,2,4,12,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-11-01,281,4,1,8,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2021-12-01,245,5,2,10,579,4,69,1604,51,47,"1.184,95","2.739.983,04",73106,56276,52418,107870,15400,92,95,99,94,94
2022-01-01,465,4,3,18,1650,6,100,1400,50,71,"1.209,94","2.770.794,14",77545,54109,51546,106275,18471,87,91,99,81,96
2022-02-01,359,2,7,13,1650,6,100,1400,50,71,"1.209,94","2.770.794,14",77545,54109,51546,106275,18471,87,91,99,81,96
2022-03-01,302,5,9,12,1650,6,100,1400,50,71,"1.209,94","2.770.794,14",77545,54109,51546,106275,18471,87,91,99,81,96
