TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,22,0,0,0,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-02-01,15,0,0,1,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-03-01,22,0,0,0,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-04-01,36,0,0,1,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-05-01,29,0,0,0,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-06-01,32,0,0,5,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-07-01,16,0,0,2,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-08-01,10,0,0,2,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-09-01,28,0,0,1,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-10-01,31,0,0,3,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-11-01,28,0,0,4,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2021-12-01,25,0,0,3,138,1,15,54,1,14,"302,75","2.526.545,75",0,12193,14563,32853,5206,80,63,89,90,94
2022-01-01,47,0,0,2,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-02-01,40,0,0,2,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-03-01,44,0,0,2,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-04-01,45,0,0,5,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-05-01,20,0,0,2,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-06-01,17,0,0,3,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-07-01,29,0,0,3,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-08-01,35,0,0,1,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-09-01,40,0,0,1,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-10-01,15,0,0,4,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-11-01,24,0,0,2,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2022-12-01,28,0,0,0,250,2,18,110,5,17,"303,397","2.645.837,00",0,12089,14527,32681,5659,82,63,90,99,96
2023-01-01,50,1,0,0,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-02-01,55,0,0,1,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-03-01,46,2,0,1,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-04-01,31,0,0,3,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-05-01,50,0,0,1,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-06-01,27,0,0,3,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-07-01,24,0,0,3,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-08-01,8,1,0,1,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-09-01,27,0,0,1,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-10-01,33,0,0,1,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-11-01,24,0,0,1,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2023-12-01,41,0,0,0,240,2,15,120,6,19,"312,43","2.726.426,22",0,12155,14464,32839,5718,68,49,86,97,95
2024-01-01,46,1,0,2,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-02-01,40,0,0,1,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-03-01,42,0,1,3,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-04-01,54,0,0,1,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-05-01,55,0,0,0,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-06-01,37,0,0,0,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-07-01,56,1,0,1,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-08-01,29,0,0,0,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-09-01,39,0,0,1,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-10-01,36,0,0,0,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-11-01,53,0,1,1,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2024-12-01,28,0,0,3,168,0,4,274,1,19,"315,92","2.716.497,00",0,12599,14407,33029,5630,75,56,86,96,95
2025-01-01,40,0,1,1,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-02-01,29,0,0,1,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-03-01,44,0,0,1,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-04-01,33,0,0,2,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-05-01,29,0,0,1,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-06-01,38,0,0,0,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-07-01,37,0,0,1,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-08-01,27,0,0,0,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-09-01,30,0,1,1,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-10-01,16,0,1,0,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-11-01,35,0,0,0,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
2025-12-01,33,0,0,1,255,4,21,106,17,19,"319,3","2.893.070,00",0,12723,13669,33332,5712,74,55,88,97,95
