TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,112,0,3,2,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-02-01,83,2,1,2,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-03-01,119,1,3,5,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-04-01,118,0,2,8,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-05-01,125,1,0,7,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-06-01,116,0,3,4,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-07-01,82,0,2,3,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-08-01,80,0,2,3,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-09-01,136,0,0,7,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-10-01,166,0,1,10,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-11-01,157,1,0,9,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2021-12-01,133,2,4,4,386,5,31,874,5,31,"1.071,73","2.651.885,01",13817,42448,54322,117354,13698,94,91,94,90,90
2022-01-01,255,1,1,14,1040,5,55,650,20,37,"1.081,12","2.645.837,00",16966,42880,55452,117528,26834,84,94,94,79,90
2022-02-01,198,1,0,7,1040,5,55,650,20,37,"1.081,12","2.645.837,00",16966,42880,55452,117528,26834,84,94,94,79,90
2022-03-01,143,1,3,2,1040,5,55,650,20,37,"1.081,12","2.645.837,00",16966,42880,55452,117528,26834,84,94,94,79,90
2022-04-01,167,2,2,11,1040,5,55,650,20,37,"1.081,12","2.645.837,00",16966,42880,55452,117528,26834,84,94,94,79,90
2022-05-01,117,0,1,3,1040,5,55,650,20,37,"1.081,12","2.645.837,00",16966,42880,55452,117528,26834,84,94,94,79,90
