TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,231,0,6,10,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-02-01,235,0,0,5,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-03-01,258,0,5,8,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-04-01,142,0,2,16,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-05-01,117,0,0,3,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-06-01,196,0,0,3,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-07-01,140,0,0,6,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-08-01,136,0,0,3,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-09-01,161,0,1,6,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-10-01,161,0,0,5,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-11-01,157,0,1,26,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2021-12-01,80,0,1,3,646,3,33,1310,33,51,"1.477,40","2.442.513,12",178,47885,66887,137705,27724,93,90,95,88,90
2022-01-01,266,2,0,4,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-02-01,203,0,2,8,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-03-01,255,0,4,11,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-04-01,244,1,1,4,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-05-01,272,0,0,13,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-06-01,272,2,2,10,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-07-01,375,0,1,9,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-08-01,333,0,3,3,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-09-01,287,2,1,4,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-10-01,222,4,1,6,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-11-01,256,1,3,3,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2022-12-01,213,1,0,9,1190,6,68,1140,35,53,"1.500,02","2.444.079,29",267,48564,67454,134265,14345,89,91,94,90,91
2023-01-01,281,1,4,8,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-02-01,281,2,2,14,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-03-01,302,1,1,9,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-04-01,184,0,2,8,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-05-01,218,1,3,7,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-06-01,220,0,1,8,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-07-01,223,1,1,13,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-08-01,240,2,1,11,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-09-01,238,6,2,3,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-10-01,199,1,0,8,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-11-01,170,1,2,7,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2023-12-01,139,2,3,5,1400,7,70,1300,30,94,"1.508,33","2.637.161,55",216,50477,67974,133794,30056,91,95,96,89,90
2024-01-01,260,0,7,9,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-02-01,167,0,5,13,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-03-01,168,1,2,9,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-04-01,179,1,3,14,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-05-01,213,2,3,7,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-06-01,201,0,1,11,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-07-01,208,3,1,11,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-08-01,192,0,4,12,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-09-01,168,0,1,9,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-10-01,212,0,0,14,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-11-01,183,0,3,9,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2024-12-01,198,2,0,8,895,5,42,1479,23,88,"1.525,09","2.716.497,00",187,52548,68794,133072,29290,91,93,96,89,90
2025-01-01,194,0,1,10,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-02-01,193,0,0,12,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-03-01,208,1,0,6,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-04-01,203,0,0,11,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-05-01,168,1,0,10,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-06-01,164,1,0,9,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-07-01,172,1,0,12,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-08-01,171,1,0,8,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-09-01,182,1,0,8,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-10-01,181,2,0,8,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-11-01,196,2,0,9,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
2025-12-01,162,1,0,9,1917,31,159,798,127,88,"1.541,43","2.893.070,00",138,54990,67604,132743,29365,91,93,95,89,90
