TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,116,1,2,5,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-02-01,107,0,0,5,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-03-01,132,0,2,7,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-04-01,84,0,0,3,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-05-01,81,3,1,6,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-06-01,119,1,3,11,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-07-01,85,1,1,4,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-08-01,46,0,0,2,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-09-01,58,0,0,5,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-10-01,78,0,1,2,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-11-01,79,0,0,4,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2021-12-01,54,1,4,1,122,0,43,852,1,38,"1.118,12","2.432.150,13",4834,40274,53222,111683,23350,93,92,97,90,98
2022-01-01,143,0,0,8,1020,4,58,740,12,37,"1.127,95","2.443.960,00",6121,39683,54562,109579,24599,88,85,98,85,98
2022-02-01,110,1,2,2,1020,4,58,740,12,37,"1.127,95","2.443.960,00",6121,39683,54562,109579,24599,88,85,98,85,98
