TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,86,2,0,3,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-02-01,88,0,0,11,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-03-01,121,0,0,7,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-04-01,218,4,3,4,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-05-01,213,2,4,3,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-06-01,118,0,2,2,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-07-01,58,0,0,1,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-08-01,56,1,0,1,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-09-01,55,1,0,3,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-10-01,49,0,0,1,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-11-01,58,0,0,2,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2021-12-01,58,0,0,3,148,1,18,425,11,29,"634,12","2.461.850,00",3337,27487,32771,70202,10696,87,88,94,89,95
2022-01-01,96,2,0,3,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-02-01,101,0,1,3,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-03-01,68,1,0,3,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-04-01,75,0,0,3,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-05-01,81,1,0,4,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-06-01,70,0,0,3,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-07-01,93,1,1,5,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-08-01,103,0,0,4,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-09-01,81,0,0,6,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-10-01,96,4,1,3,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-11-01,72,1,0,2,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2022-12-01,41,0,1,0,640,3,30,410,13,32,"635,129","2.440.486,00",3582,27399,32093,69408,8882,76,86,96,80,97
2023-01-01,91,2,1,4,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-02-01,91,0,0,3,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-03-01,97,1,0,5,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-04-01,62,0,1,2,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-05-01,101,1,0,4,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-06-01,87,1,1,3,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-07-01,73,0,0,6,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-08-01,94,1,2,4,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-09-01,76,1,0,2,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-10-01,116,0,1,5,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-11-01,75,2,0,3,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2023-12-01,63,1,0,4,700,4,35,450,15,38,"653,85","2.656.089,97",3012,28053,31625,69238,11318,89,89,97,77,97
2024-01-01,139,2,0,7,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
2024-02-01,87,2,3,5,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
2024-03-01,131,1,1,1,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
2024-04-01,118,0,0,0,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
2024-05-01,140,1,0,6,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
2024-06-01,101,0,0,7,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
2024-07-01,109,1,0,3,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
2024-08-01,81,0,2,6,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
2024-09-01,91,0,2,4,310,0,34,559,11,49,"659,89","2.716.497,00",3250,28476,31676,69117,11910,85,88,97,80,97
