TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,30,0,0,2,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-02-01,13,0,0,0,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-03-01,31,0,0,4,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-04-01,29,0,0,2,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-05-01,17,0,0,3,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-06-01,30,0,1,1,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-07-01,10,0,0,1,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-08-01,10,0,0,0,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-09-01,16,0,0,3,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-10-01,18,2,0,1,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-11-01,13,0,0,3,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2021-12-01,20,0,0,0,38,0,14,160,2,14,"229,77","2.673.569,29",46,6323,9649,26102,5378,81,87,90,98,89
2022-01-01,38,0,1,1,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-02-01,16,1,0,1,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-03-01,26,0,0,1,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-04-01,22,0,0,3,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-05-01,20,0,0,2,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-06-01,30,0,0,5,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-07-01,24,0,0,0,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-08-01,27,0,0,0,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-09-01,23,0,0,0,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-10-01,20,0,0,2,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-11-01,27,0,0,1,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2022-12-01,24,2,0,0,180,2,15,140,3,15,"232,685","2.536.682,00",101,6559,9651,26171,8003,77,88,92,99,99
2023-01-01,24,1,0,1,200,2,20,150,8,15,"237,94","2.873.227,49",117,6979,9910,26404,6222,86,93,96,100,100
2023-02-01,26,0,0,2,200,2,20,150,8,15,"237,94","2.873.227,49",117,6979,9910,26404,6222,86,93,96,100,100
2023-03-01,37,0,1,1,200,2,20,150,8,15,"237,94","2.873.227,49",117,6979,9910,26404,6222,86,93,96,100,100
2023-04-01,16,0,0,0,200,2,20,150,8,15,"237,94","2.873.227,49",117,6979,9910,26404,6222,86,93,96,100,100
2023-05-01,47,1,0,3,200,2,20,150,8,15,"237,94","2.873.227,49",117,6979,9910,26404,6222,86,93,96,100,100
2023-06-01,40,0,0,2,200,2,20,150,8,15,"237,94","2.873.227,49",117,6979,9910,26404,6222,86,93,96,100,100
2023-07-01,37,0,0,1,200,2,20,150,8,15,"237,94","2.873.227,49",117,6979,9910,26404,6222,86,93,96,100,100
