TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,26,0,1,2,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-02-01,45,0,1,4,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-03-01,42,0,3,6,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-04-01,54,2,0,6,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-05-01,30,1,0,4,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-06-01,46,1,2,3,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-07-01,25,0,0,2,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-08-01,33,2,0,0,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-09-01,58,0,1,2,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-10-01,60,0,0,5,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-11-01,53,1,0,7,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2021-12-01,46,0,0,2,21,3,12,330,4,15,"169,78","2.433.381,04",9946,22005,13780,19726,4564,99,97,99,95,95
2022-01-01,71,1,2,2,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-02-01,37,1,0,3,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-03-01,47,1,0,6,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-04-01,54,0,1,5,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-05-01,51,1,1,4,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-06-01,67,1,0,1,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-07-01,82,1,0,7,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-08-01,71,0,1,5,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-09-01,68,0,1,6,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-10-01,67,0,1,5,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
2022-11-01,78,1,1,7,310,3,0,290,5,19,"171,169","2.472.144,00",9892,19540,13677,19574,5148,96,93,99,74,98
