TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,36,0,0,1,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-02-01,38,0,2,3,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-03-01,39,0,0,2,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-04-01,45,0,1,2,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-05-01,31,0,0,1,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-06-01,38,0,0,2,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-07-01,20,0,0,1,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-08-01,46,0,0,1,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-09-01,45,0,1,1,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-10-01,35,2,0,1,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-11-01,45,0,1,1,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2021-12-01,46,0,1,0,170,2,9,313,1,14,"481,71","2.432.001,57",29,16168,24189,52009,7150,80,83,90,99,99
2022-01-01,50,0,0,1,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-02-01,45,2,0,1,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-03-01,40,0,0,2,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-04-01,32,0,0,1,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-05-01,45,0,0,2,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-06-01,53,0,0,1,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-07-01,45,0,0,2,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-08-01,43,0,0,2,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-09-01,57,0,0,1,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-10-01,55,0,0,2,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-11-01,43,0,0,1,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2022-12-01,53,1,0,2,310,2,20,260,5,14,"487,153","2.440.486,18",63,16568,24556,51583,7892,75,72,91,99,93
2023-01-01,59,0,0,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-02-01,56,0,0,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-03-01,51,0,0,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-04-01,41,3,3,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-05-01,73,0,0,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-06-01,50,1,1,1,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-07-01,55,2,2,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-08-01,64,1,1,1,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-09-01,70,0,0,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-10-01,58,1,1,1,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-11-01,65,2,2,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2023-12-01,52,0,0,0,350,2,25,280,10,22,"494,28","2.633.284,59",226,16887,24428,51743,7887,82,72,95,99,96
2024-01-01,83,0,0,2,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-02-01,70,2,1,4,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-03-01,57,0,0,3,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-04-01,52,1,1,0,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-05-01,61,1,1,5,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-06-01,62,0,2,1,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-07-01,54,0,2,1,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-08-01,55,0,1,2,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-09-01,48,3,0,5,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-10-01,45,0,1,2,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-11-01,51,0,1,3,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2024-12-01,44,0,0,2,160,2,47,472,11,29,"500,3","2.716.497,00",312,17109,25139,51835,7809,80,74,95,99,96
2025-01-01,35,0,1,2,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-02-01,46,1,1,0,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-03-01,43,0,1,2,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-04-01,22,0,1,2,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-05-01,20,1,1,2,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-06-01,16,0,1,1,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-07-01,37,1,1,3,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-08-01,23,0,1,1,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-09-01,19,1,1,3,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-10-01,21,0,1,2,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-11-01,8,0,1,3,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
2025-12-01,11,0,1,3,639,10,53,266,42,29,"506,26","2.893.070,00",316,17265,23785,52213,8014,79,73,93,99,95
