TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,20,0,0,3,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-02-01,13,0,0,1,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-03-01,10,0,0,0,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-04-01,14,0,0,0,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-05-01,14,0,0,1,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-06-01,13,0,0,0,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-07-01,7,0,0,2,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-08-01,6,0,0,0,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-09-01,11,0,0,1,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-10-01,8,0,0,2,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-11-01,14,0,0,1,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2021-12-01,10,0,1,1,62,0,14,66,8,12,"163,64","2.432.001,57",0,7766,8736,19708,2717,74,79,91,79,79
2022-01-01,21,0,0,2,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-02-01,18,0,0,2,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-03-01,17,0,0,1,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-04-01,14,1,0,2,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-05-01,24,0,1,0,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-06-01,16,0,1,2,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-07-01,22,0,0,1,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-08-01,14,1,0,0,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-09-01,18,0,0,0,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
2022-10-01,17,0,1,0,0,0,20,203,7,11,"164,816","2.440.486,18",0,7415,8545,19779,7737,76,66,95,72,99
