TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,90,0,0,5,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-02-01,70,0,0,3,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-03-01,73,0,2,5,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-04-01,76,0,0,2,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-05-01,72,1,0,0,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-06-01,75,0,0,2,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-07-01,32,0,1,3,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-08-01,47,0,0,1,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-09-01,47,2,0,3,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-10-01,81,0,2,3,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-11-01,47,1,2,1,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2021-12-01,37,2,0,0,104,1,22,479,11,18,"406,82","2.432.001,57",5679,24646,24139,45070,6229,94,92,94,87,87
2022-01-01,115,1,3,5,300,3,5,420,2,14,"408,415","2.440.486,18",7636,23971,24628,44683,7015,83,94,94,78,96
2022-02-01,64,0,2,2,300,3,5,420,2,14,"408,415","2.440.486,18",7636,23971,24628,44683,7015,83,94,94,78,96
