TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,61,0,1,5,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-02-01,50,0,0,3,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-03-01,66,1,1,2,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-04-01,46,0,2,3,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-05-01,55,0,0,4,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-06-01,63,0,0,5,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-07-01,35,1,0,0,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-08-01,33,0,0,7,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-09-01,50,1,0,1,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-10-01,60,1,0,4,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-11-01,70,0,0,5,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2021-12-01,47,0,0,0,195,0,46,576,5,26,"645,81","2.432.001,57",104,20826,28314,66184,5390,77,75,87,95,96
2022-01-01,80,0,1,8,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-02-01,53,0,0,3,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-03-01,61,0,0,3,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-04-01,66,2,0,5,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-05-01,68,0,0,2,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-06-01,66,0,1,2,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-07-01,59,0,0,3,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-08-01,86,3,1,6,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-09-01,65,0,0,7,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-10-01,48,0,2,3,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-11-01,76,1,1,2,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2022-12-01,79,2,0,9,420,3,35,380,6,26,"652,898","2.440.486,18",54,20946,28375,65264,11968,72,77,90,99,96
2023-01-01,91,1,0,3,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-02-01,63,0,0,1,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-03-01,53,0,1,3,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-04-01,47,0,0,3,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-05-01,76,1,2,2,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-06-01,65,0,1,3,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-07-01,52,0,1,6,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-08-01,79,0,0,5,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-09-01,64,0,0,1,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-10-01,62,0,2,6,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-11-01,57,1,1,5,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2023-12-01,48,0,2,3,450,3,40,400,15,32,"662,54","2.633.284,59",0,21490,28879,65321,6217,76,74,92,99,96
2024-01-01,96,2,1,2,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-02-01,95,1,0,1,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-03-01,89,0,0,2,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-04-01,57,1,1,6,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-05-01,88,1,1,1,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-06-01,89,0,1,4,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-07-01,80,1,0,9,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-08-01,78,1,1,5,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-09-01,86,0,4,9,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-10-01,79,2,2,3,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-11-01,74,0,2,7,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
2024-12-01,76,0,1,2,409,1,30,406,7,31,"670,37","2.716.497,00",5,21830,29102,65894,6111,75,75,92,98,96
