TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,28,0,0,0,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-02-01,30,0,0,1,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-03-01,35,0,1,3,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-04-01,30,0,1,2,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-05-01,24,0,0,0,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-06-01,37,0,0,1,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-07-01,33,0,0,0,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-08-01,37,0,0,1,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-09-01,28,0,1,0,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-10-01,35,0,0,3,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-11-01,42,0,2,0,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2021-12-01,34,0,0,1,108,0,8,284,1,16,"287,71","2.472.144,09",1774,11747,15127,32494,6008,84,88,93,88,88
2022-01-01,38,0,1,1,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-02-01,32,0,1,0,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-03-01,41,0,1,5,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-04-01,33,0,0,1,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-05-01,50,0,0,2,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-06-01,39,0,0,1,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-07-01,38,0,0,2,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-08-01,39,0,0,3,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-09-01,48,0,1,2,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
2022-10-01,28,0,1,2,290,2,18,250,4,16,"289,62","2.673.569,00",0,11379,15350,32113,6390,84,92,98,76,98
