TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,59,0,0,4,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-02-01,47,0,1,2,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-03-01,63,0,1,6,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-04-01,51,0,0,7,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-05-01,41,0,1,1,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-06-01,60,0,0,6,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-07-01,51,0,0,2,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-08-01,28,0,0,1,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-09-01,52,0,0,1,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-10-01,60,0,2,2,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-11-01,54,0,2,0,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2021-12-01,50,0,2,1,113,0,37,445,14,21,"430,63","2.443.313,29",641,13871,20679,50311,8898,92,87,93,99,92
2022-01-01,69,0,2,3,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-02-01,54,0,1,1,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-03-01,50,0,0,6,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-04-01,46,0,2,2,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-05-01,41,0,0,2,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-06-01,56,1,1,5,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-07-01,83,0,1,1,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-08-01,74,1,2,1,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-09-01,65,0,0,1,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-10-01,70,1,0,2,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-11-01,85,0,1,1,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2022-12-01,69,1,0,2,330,3,25,300,7,20,"431,208","2.659.506,00",2150,14010,20304,49130,4711,85,78,94,100,96
2023-01-01,104,1,2,4,360,3,30,320,15,27,"445,17","2.635.078,00",0,14446,20637,48948,9840,86,91,95,100,96
2023-02-01,67,0,0,3,360,3,30,320,15,27,"445,17","2.635.078,00",0,14446,20637,48948,9840,86,91,95,100,96
2023-03-01,86,0,0,0,360,3,30,320,15,27,"445,17","2.635.078,00",0,14446,20637,48948,9840,86,91,95,100,96
2023-04-01,44,1,0,1,360,3,30,320,15,27,"445,17","2.635.078,00",0,14446,20637,48948,9840,86,91,95,100,96
