TANGGAL,JML_KSO,JML_KRO,JML_TBHIV,JML_TBDM,JML_SPS,JML_SPG,JML_SPM,JML_SPL,JML_SPP,JML_FASKES,JML_PENDUDUK,JML_SUMK,PTPT,PTSMA,PTSMP,PTSD,PTTK,PRS_JAMBAN,PRS_AML,PRS_LLan,PRS_LLis,PRS_Ven
2021-01-01,74,0,0,0,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-02-01,47,0,0,0,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-03-01,59,0,0,1,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-04-01,60,0,1,0,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-05-01,36,1,0,1,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-06-01,36,0,1,0,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-07-01,36,0,0,1,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-08-01,39,1,3,1,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-09-01,47,0,0,1,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-10-01,57,1,0,0,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-11-01,44,1,0,0,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2021-12-01,21,0,0,0,242,1,11,324,4,22,"476,87","2.461.850,00",0,18514,23234,53594,8055,86,83,94,98,98
2022-01-01,67,0,0,2,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-02-01,55,0,0,1,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-03-01,53,0,0,4,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-04-01,40,0,0,0,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-05-01,39,0,0,1,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-06-01,42,0,0,1,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-07-01,49,0,0,0,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-08-01,46,0,0,0,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-09-01,34,0,1,0,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-10-01,53,0,0,0,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-11-01,42,0,0,0,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
2022-12-01,49,0,0,0,360,2,20,310,6,20,"481,036","2.645.837,00",0,18620,23387,52954,6495,83,76,96,100,99
